iter	Passed	Remaining
1120	11743	9208
1121	11753	9197
1122	11763	9186
1123	11773	9176
1124	11783	9165
1125	11793	9154
1126	11803	9143
1127	11813	9132
1128	11823	9121
1129	11833	9110
1130	11845	9101
1131	11855	9090
1132	11864	9079
1133	11874	9068
1134	11884	9057
1135	11893	9046
1136	11904	9035
1137	11915	9025
1138	11925	9014
1139	11936	9004
1140	11947	8994
1141	11964	8989
1142	11973	8977
1143	11982	8966
1144	11992	8955
1145	12001	8943
1146	12012	8933
1147	12023	8923
1148	12034	8912
1149	12044	8902
1150	12054	8891
1151	12064	8881
1152	12074	8870
1153	12084	8858
1154	12094	8848
1155	12104	8837
1156	12114	8826
1157	12123	8815
1158	12133	8804
1159	12143	8793
1160	12153	8782
1161	12164	8772
1162	12174	8762
1163	12185	8751
1164	12196	8741
1165	12207	8731
1166	12218	8721
1167	12230	8711
1168	12242	8702
1169	12253	8692
1170	12263	8682
1171	12274	8671
1172	12285	8661
1173	12296	8651
1174	12306	8640
1175	12317	8630
1176	12327	8620
1177	12338	8609
1178	12348	8598
1179	12359	8588
1180	12369	8578
1181	12380	8568
1182	12391	8557
1183	12401	8547
1184	12411	8536
1185	12422	8526
1186	12433	8515
1187	12443	8505
1188	12453	8494
1189	12464	8484
1190	12476	8474
1191	12487	8464
1192	12500	8455
1193	12510	8445
1194	12520	8434
1195	12532	8424
1196	12543	8415
1197	12555	8405
1198	12567	8395
1199	12578	8385
1200	12589	8375
1201	12600	8365
1202	12612	8355
1203	12624	8346
1204	12637	8337
1205	12650	8328
1206	12662	8319
1207	12674	8309
1208	12685	8299
1209	12697	8289
1210	12707	8279
1211	12719	8269
1212	12730	8259
1213	12741	8249
1214	12752	8239
1215	12764	8229
1216	12775	8219
1217	12787	8210
1218	12798	8199
1219	12810	8190
1220	12822	8180
1221	12835	8171
1222	12847	8162
1223	12859	8152
